"corner_place_id","google_id","name","neighborhood","website","instagram_handle","tags"
48937,"ChIJS9OS9sNZwokRx5r2iXYAk5E","Jean's","NoHo","https://jeans.nyc/","jeanslafayette","{restaurant,bar,night_club}"
648,"ChIJ8Q2WSpJZwokRQz-bYYgEskM","Joe's Pizza","West Village","http://www.joespizzanyc.com/","joespizzanyc","{restaurant}"
11410,"ChIJfTgbIE9ZwokRdRjFE2OMZN8","Jua","Flatiron District","http://www.juanyc.com/","jua.nyc","{restaurant}"
14449,"ChIJnY19HoFZwokRfs9FwDLVRKw","The Back Room","Lower East Side","http://www.backroomnyc.com/","thebackroomnyc","{bar}"
3348,"ChIJK2mBYJNZwokRIT4oANQ6OFY","I Sodi","West Village","http://www.isodinyc.com/","ritasodi","{restaurant}"
9935,"ChIJ8U_F9b9ZwokRTaHyDKWRNSg","Pastis","West Village","https://pastisnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","Esquire","{restaurant,bar}"
1966,"ChIJwaHnQI9ZwokRvlECeQqpHdg","McNally Jackson Books SoHo","SoHo","http://www.mcnallyjackson.com/","mcnallyjackson","{book_store,shop}"
1057,"ChIJBTT9YW9ZwokRGNibieZGOTk","Kimika","Little Italy","https://www.kimikanyc.com/","kimika.nyc","{restaurant}"
8004,"ChIJ1YjjIR5ZwokR64A4lzzR84g","Paquita","West Village",,,"{shop}"
3988,"ChIJ7V92JR9awokR3v7idFEG_mE","Philip Williams Posters","Tribeca","http://www.postermuseum.com/","shopify","{culture,shop}"
281136,"ChIJx2JkxxVZwokRQwS9pr0nrNk","OASES Café","Chelsea District","https://www.oasesnyc.com/","oasesnyc","{cafe,restaurant,bar}"
9870,"ChIJtx7ymGVbwokRzDZBJ8NVJz0","Place des Fêtes","Brooklyn","http://www.pdfnyc.com/","pdfbk","{bar,restaurant}"
153658,"ChIJG3thBQBZwokRo3oXWplIjsc","Gnocchi on 9th","East Village","http://gnocchinyc.com/","gnocchinyc","{restaurant}"
12684,"ChIJ22wiSIpZwokRUmlXovJnWDI","La Mercerie","SoHo","https://www.lamercerieny.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","lamercerieny","{restaurant,bar}"
7915,"ChIJofE6JSBZwokRkOG-yB0pXns","Twins Lounge","Greenpoint",,,"{bar}"
9810,"ChIJ9TpnlMtZwokRJJQ_AJbVcnY","Moonflower","West Village","http://www.moonflower.nyc/","moonflower_nyc","{bar}"
155492,"ChIJgTMBOPtbwokR1Y0sSidhvqI","Conwell Coffee Hall","Financial District","https://conwellcoffeehall.com/","conwellcoffeehall","{cafe}"
20276,"ChIJEa4-I9BbwokRhCUh5oXkWY0","PPL","Brooklyn","https://pplnyc.com/",,"{cafe}"
431,"ChIJBwGziqlZwokRb3MTH3xUt0Y","TONCHIN NEW YORK","Midtown South","https://tonchinus.com/","tonchinnewyork","{bar,restaurant}"
151928,"ChIJ3YtkUgBZwokRMd5buqhS9ps","Kisa","Lower East Side","https://www.kisaus.com/","kisarestaurant","{restaurant}"
27544,"ChIJ2Z1b4BtZwokRbAZmwR67Dyc","929","Queens","https://www.929lic.com/","929lic","{bar}"
66958,"ChIJvduhDjVZwokReg77D1pNQaQ","Bangkok Supper Club","West Village","https://www.bangkoksupperclubnyc.com/","bangkoksupperclubnyc","{restaurant,bar}"
2363,"ChIJH1KZKilZwokRYwSxtHI3_N0","Devoción","Flatiron District","http://devocion.com/","devocionusa","{cafe}"
1787,"ChIJ0SLgu3ZZwokRI7lEBkiDtJE","uluh","East Village","https://www.uluhny.com/","uluh.ny","{restaurant}"
14928,"ChIJYe9rSINZwokRw_36I8jEHzM","DASHI OKUME Brooklyn","Greenpoint","https://okume.us/",,"{bar,restaurant}"
53045,"ChIJRe064n9ZwokRyyOH9sy364Y","Bar Orai","Turtle Bay","http://instagram.com/bar.orai",,"{bar}"
20125,"ChIJnbRm-4pZwokR7Mj1KC0tlxA","Mắm","Chinatown","https://instagram.com/mam.nyc",,"{restaurant}"
17508,"ChIJK0FlVPNZwokR2waVBj-VHko","Ariston Coffee Bar","Greenwich Village","http://www.aristonflowers.com/",,"{cafe}"
13602,"ChIJUw68EZJZwokRJ15RD_T4OTw","Dante NYC","Greenwich Village","http://www.dante-nyc.com/","dantenewyorkcity","{bar,restaurant,cafe}"
2361,"ChIJ0zAa911ZwokRQlmIU8v4Kzs","Partners Coffee — Cafe & Roastery","Brooklyn","http://www.partnerscoffee.com/","partnerscoffee","{cafe}"
121105,"ChIJv2KfY_ZZwokRK8PeZMCg02g","Atelier Jolie","NoHo",,"eatoffbeat","{destination}"
1185,"ChIJCZ6p_4dZwokRitXAVOk-zvs","Wah Fung No.1 Fast Food","Chinatown","https://wahfungno1fastfood.site/",,"{restaurant}"
3306,"ChIJVyFicJ1ZwokR2oIygOmovWw","Thursday Kitchen","East Village","https://thursdaykitchen.com/","thursdaykitchen","{restaurant}"
9659,"ChIJpdaS-7pZwokRwu9BkLCdK_U","niconeco zakkaya","East Village","http://www.niconeco.com/","niconeco_zakkaya","{shop}"
96002,"ChIJATHmaWVZwokRDCLWBIoq8ZU","Ask For Janice","Greenpoint","https://www.askforjanice.nyc/","askforjanice.nyc","{bar}"
12682,"ChIJHUufNvVZwokRaO5ke5RQ46c","Bar Pisellino","West Village","http://www.barpisellino.com/","barpisellino","{bar,restaurant}"
188751,"ChIJNyH9v5xZwokR_4GmWxuWfCw","NBetween","Chelsea District","https://www.nbetween.bar/","nbetween.bar","{bar}"
2308,"ChIJmQJIxlVYwokRLgeuocVOGVU","Times Square","Theater District","https://www.timessquarenyc.org/","timessquarenyc","{destination}"
16356,"ChIJN46bC-5ZwokR1rFV0BOS4BY","Remi43 Flower & Coffee","Turtle Bay","http://www.remi43.com/",,"{cafe}"
8580,"ChIJk5I-rVdYwokREJuq-CY6pEg","Bibble & Sip","Theater District","http://bibbleandsip.com/","bibbleandsip","{bakery,cafe}"
1884,"ChIJK3vOQyNawokRXEa9errdJiU","Brooklyn Bridge","Manhattan","https://www.nyc.gov/html/dot/html/infrastructure/brooklyn-bridge.shtml",,"{destination}"
92221,"ChIJ92OsaJVZwokRsC54kf-J-3g","L’industrie Pizzeria West Village","West Village","https://www.lindustriebk.com/",,"{restaurant}"
8573,"ChIJqzhkS7dbwokRtGCdHcorPvU","Miss Ada","Fort Greene","http://www.missadanyc.com/","missadanyc","{restaurant}"
4059,"ChIJlZ1jG6NZwokRQIXt47NzppA","Good Thanks Cafe","Lower East Side","http://goodthanksnyc.com/","wix","{bar,cafe,restaurant}"
15335,"ChIJFylaePFZwokRfRdNdH7ujXI","From Lucie","East Village","http://www.fromlucie.com/","fromlucienyc","{bakery}"
8568,"ChIJx-dP1L9ZwokRUJWDOIcgTG4","Wayla","Lower East Side","https://www.waylanyc.com/","wayla.nyc","{nature,restaurant}"
8579,"ChIJcTYla4FZwokRYe11aG3tgqk","Supermoon Bakehouse","Lower East Side","https://www.supermoonbakehouse.com/","supermoonbakehouse","{bakery}"
18006,"ChIJx-bMHr1ZwokRd3i_y7F3VlE","C as in Charlie","NoHo","http://c-asincharlie.com/","c.asincharlie","{restaurant}"
236467,"ChIJvf6-ozRbwokRY7ybb9WlMLY","le gaz","Chinatown","https://legaz.cafe/","cafelegaz","{cafe}"
430,"ChIJ0QCeh5tZwokRh9J_3uvSPjU","Spot Dessert Bar","East Village","http://www.spotdessertbar.com/","spotdessertbar","{cafe,bakery,restaurant}"
